MIME type,compressed,Go compression package
application/vnd.ms-excel.template.macroenabled.12,FALSE,
application/vnd.openxmlformats-officedocument.spreadsheetml.template,FALSE,
application/xml,FALSE,
application/vnd.olpc-sugar,FALSE,
application/xop+xml,FALSE,
application/x-xpinstall,TRUE,archive/zip
image/x-xpixmap,FALSE,
application/vnd.is-xpr,FALSE,
application/vnd.ms-xpsdocument,FALSE,
application/vnd.intercon.formnet,FALSE,
application/xslt+xml,FALSE,
application/vnd.syncml+xml,FALSE,
application/xspf+xml,FALSE,
application/vnd.mozilla.xul+xml,FALSE,
image/x-xwindowdump,FALSE,
chemical/x-xyz,FALSE,
application/vnd.zzazz.deck+xml,FALSE,
application/zip,TRUE,archive/zip
application/x-zip-compressed,TRUE,archive/zip
application/zip-compressed,TRUE,archive/zip
application/vnd.zul,FALSE,
application/vnd.handheld-entertainment+xml,FALSE,
image/x-adobe-dng,FALSE,
image/x-sony-arw,FALSE,
image/x-canon-cr2,FALSE,
image/x-canon-crw,FALSE,
image/x-kodak-dcr,FALSE,
image/x-epson-erf,FALSE,
image/x-kodak-k25,FALSE,
image/x-kodak-kdc,FALSE,
image/x-minolta-mrw,FALSE,
image/x-nikon-nef,FALSE,
image/x-olympus-orf,FALSE,
image/x-pentax-pef,FALSE,
image/x-fuji-raf,FALSE,
image/x-panasonic-raw,FALSE,
audio/flac,FALSE,
image/x-sony-sr2,FALSE,
image/x-sony-srf,FALSE,
image/x-sigma-x3f,FALSE,
